cowid,parity,calving_date,enrolled,GovID,calendardate,animalid,lyingtime,standingtime,rumination,notruminating,inactivity,activity,highactivity,lie_stand,ruminate_nonruminat,active_nonactive,expday
502,1,23/05/2022,1,UK344097308314,16/06/2022,UK344097308314,9.3333333333,14.666666667,9.9666666667,14.033333333,3.5333333333,19.316666667,1.15,24,24,22.85,24
509,1,28/04/2022,1,UK344097608226,22/05/2022,UK344097608226,9.2166666667,14.783333333,8.3833333333,15.616666667,5.05,17.533333333,1.4333333333,24,24,22.583333333,24
514,2,28/05/2022,1,UK344097207382,21/06/2022,UK344097207382,12.65,11.35,8.3666666667,15.633333333,5.45,15.616666667,2.9333333333,24,24,21.066666667,24
521,2,14/05/2022,1,UK344097707415,07/06/2022,UK344097707415,11.083333333,12.916666667,9.1666666667,14.833333333,5.15,17.15,1.7,24,24,22.3,24
524,1,23/05/2022,1,UK344097508288,16/06/2022,UK344097508288,10.85,13.15,10.483333333,13.516666667,4.05,18.516666667,1.4333333333,24,24,22.566666667,24
527,1,27/05/2022,1,UK344097608464,20/06/2022,UK344097608464,12.433333333,11.566666667,9.3,14.7,8.5333333333,14.983333333,0.4833333333,24,24,23.516666667,24
532,1,23/05/2022,1,UK344097408483,16/06/2022,UK344097408483,11.133333333,12.866666667,14.233333333,9.7666666667,4.5166666667,19.333333333,0.15,24,24,23.85,24
542,8,24/06/2022,1,UK344097403338,18/07/2022,UK344097403338,10.583333333,7.4166666667,4.9166666667,13.083333333,6.5833333333,11.233333333,0.1833333333,18,18,17.816666667,24
556,1,28/04/2022,1,UK344097108480,22/05/2022,UK344097108480,11.15,12.85,10.316666667,13.683333333,6.1,17.266666667,0.6333333333,24,24,23.366666667,24
561,1,30/06/2022,1,UK344097108340,24/07/2022,UK344097108340,8.7333333333,15.266666667,12.933333333,11.066666667,4.3833333333,19.35,0.2666666667,24,24,23.733333333,24
570,1,27/05/2022,1,UK344097508302,20/06/2022,UK344097508302,11.733333333,12.266666667,10.266666667,13.733333333,5.7666666667,18.016666667,0.2166666667,24,24,23.783333333,24
575,1,10/06/2022,1,UK344097108361,04/07/2022,UK344097108361,12.633333333,11.366666667,12.216666667,11.783333333,5.4166666667,17.983333333,0.6,24,24,23.4,24
580,1,30/04/2022,1,UK344097508267,24/05/2022,UK344097508267,14.483333333,9.5166666667,10.083333333,13.916666667,6.35,16.133333333,1.5166666667,24,24,22.483333333,24
590,2,16/06/2022,1,UK344097707296,10/07/2022,UK344097707296,15.15,8.85,5.4833333333,18.516666667,10.783333333,12.683333333,0.5333333333,24,24,23.466666667,24
593,3,23/06/2022,1,UK344097406985,17/07/2022,UK344097406985,6.8833333333,15.116666667,9.7,12.3,2.95,18.15,0.9,22,22,21.1,24
606,4,26/04/2022,1,UK344097206059,20/05/2022,UK344097206059,14.483333333,9.5166666667,11.316666667,12.683333333,6.55,17.2,0.25,24,24,23.75,24
610,1,05/06/2022,1,UK344097707912,29/06/2022,UK344097707912,4.8,19.2,14.5,9.5,2.6833333333,16.933333333,4.3833333333,24,24,19.616666667,24
613,4,02/06/2022,1,UK344097406047,26/06/2022,UK344097406047,12.1,11.9,8.3333333333,15.666666667,8.65,15.116666667,0.2333333333,24,24,23.766666667,24
639,2,26/04/2022,1,UK344097107318,20/05/2022,UK344097107318,12.866666667,11.133333333,9.6166666667,14.383333333,5.2,15.116666667,3.6833333333,24,24,20.316666667,24
652,4,11/05/2022,1,UK344097406040,04/06/2022,UK344097406040,11.8,12.2,8.6666666667,15.333333333,6.8166666667,16.35,0.8333333333,24,24,23.166666667,24
654,5,30/06/2022,1,DE001265359399,24/07/2022,DE001265359399,19.833333333,4.1666666667,1.5333333333,22.466666667,18.75,5.2,0.05,24,24,23.95,24
690,3,09/06/2022,1,UK344097106436,03/07/2022,UK344097106436,15.383333333,8.6166666667,12.333333333,11.666666667,6.3666666667,17.15,0.4833333333,24,24,23.516666667,24
704,2,03/06/2022,1,UK344097107374,27/06/2022,UK344097107374,10.333333333,13.666666667,7.2166666667,16.783333333,7.3166666667,11.75,4.9166666667,24,24,19.066666667,24
705,2,29/04/2022,1,UK344097107409,23/05/2022,UK344097107409,12.6,11.4,6.9,17.1,7.6333333333,15.616666667,0.75,24,24,23.25,24
730,3,02/06/2022,1,UK344097306858,26/06/2022,UK344097306858,13,11,8.2166666667,15.783333333,7.9333333333,12.783333333,3.3,24,24,20.716666667,24
750,2,12/05/2022,1,UK344097307397,05/06/2022,UK344097307397,11.683333333,12.316666667,9.4333333333,14.566666667,4.85,18.75,0.4,24,24,23.6,24
758,4,27/06/2022,1,UK344097405669,21/07/2022,UK344097405669,11.4,12.6,13.366666667,10.633333333,4.25,19.266666667,0.4833333333,24,24,23.516666667,24
776,2,07/06/2022,1,UK344097607687,01/07/2022,UK344097607687,14.366666667,9.6333333333,9.8,14.2,6.7,17.116666667,0.1833333333,24,24,23.816666667,24
782,2,02/05/2022,1,UK344097107367,26/05/2022,UK344097107367,11.05,12.95,8.5166666667,15.483333333,6.6333333333,15.433333333,1.9333333333,24,24,22.066666667,24
791,2,05/06/2022,1,UK344097507511,29/06/2022,UK344097507511,15.316666667,8.6833333333,13.033333333,10.966666667,6.6166666667,17.316666667,0.0666666667,24,24,23.933333333,24
820,3,16/05/2022,1,UK344097206332,09/06/2022,UK344097206332,10.433333333,13.566666667,10.716666667,13.283333333,6.4666666667,17.433333333,0.1,24,24,23.9,24
822,2,01/07/2022,1,UK344097707695,25/07/2022,UK344097707695,14.1,9.9,8.1833333333,15.816666667,7.5666666667,13.666666667,2.7666666667,24,24,21.233333333,24
871,1,09/06/2022,1,UK344097408175,03/07/2022,UK344097408175,14.783333333,9.2166666667,14.4,9.6,6.15,17.85,0,24,24,24,24
882,1,28/06/2022,1,UK344097508218,22/07/2022,UK344097508218,9.1666666667,14.833333333,9.5666666667,14.433333333,4.7166666667,13.933333333,5.4,24,24,18.65,24
913,1,01/06/2022,1,UK344097408168,25/06/2022,UK344097408168,12.066666667,11.933333333,10.2,13.8,6,14.583333333,3.4333333333,24,24,20.583333333,24
919,2,24/05/2022,1,UK344097307656,17/06/2022,UK344097307656,13.633333333,10.366666667,10.15,13.85,5.8166666667,17.15,1.0333333333,24,24,22.966666667,24
931,2,12/06/2022,1,UK344097107542,06/07/2022,UK344097107542,9.3333333333,14.666666667,11.733333333,12.266666667,3.6666666667,19.816666667,0.5166666667,24,24,23.483333333,24
952,3,18/05/2022,1,UK344097206787,11/06/2022,UK344097206787,10.083333333,13.916666667,10.483333333,13.516666667,4.6833333333,18.983333333,0.3166666667,24,24,23.666666667,24
957,1,10/06/2022,1,UK344097208285,04/07/2022,UK344097208285,14.466666667,9.5333333333,11.466666667,12.533333333,6.8833333333,16.616666667,0.5,24,24,23.5,24
962,2,17/05/2022,1,UK344097607596,10/06/2022,UK344097607596,7.3,16.7,10.933333333,13.066666667,3.85,17.783333333,2.4,24,24,21.633333333,24
