cowid,parity,calving_date,enrolled,GovID,calendardate,animalid,lyingtime,standingtime,rumination,notruminating,inactivity,activity,highactivity,lie_stand,ruminate_nonruminat,active_nonactive,expday
11,4,04/07/2022,1,UK344097506083,30/05/2022,UK344097506083,8.6333333333,15.366666667,9.5833333333,14.416666667,4.35,11.7,7.95,24,24,16.05,-35
40,2,04/07/2022,1,UK344097407685,30/05/2022,UK344097407685,13.566666667,10.433333333,10.916666667,13.083333333,5.0166666667,15.866666667,3.1166666667,24,24,20.883333333,-35
81,4,24/06/2022,1,UK344097205940,20/05/2022,UK344097205940,14.5,9.5,10.3,13.7,6.4166666667,14.616666667,2.9666666667,24,24,21.033333333,-35
92,3,06/07/2022,1,UK344097607092,01/06/2022,UK344097607092,9.7666666667,14.233333333,9.0166666667,14.983333333,5.1833333333,11.45,7.3833333333,24,24,16.633333333,-35
129,1,23/06/2022,1,UK344097108354,19/05/2022,UK344097108354,11.966666667,12.033333333,10.516666667,13.483333333,4.55,13,6.45,24,24,17.55,-35
153,2,03/07/2022,1,UK344097307803,29/05/2022,UK344097307803,9.4166666667,14.583333333,9.5,14.5,3.4333333333,15.3,5.2666666667,24,24,18.733333333,-35
182,1,22/06/2022,1,UK344097308538,18/05/2022,UK344097308538,10.566666667,12.433333333,9.7,13.3,5.0666666667,12,5.9333333333,23,23,17.066666667,-35
295,5,24/06/2022,1,UK344097105169,20/05/2022,UK344097105169,9.6333333333,14.366666667,11.033333333,12.966666667,4.1,18.533333333,1.3666666667,24,24,22.633333333,-35
333,2,27/06/2022,1,UK344097307558,23/05/2022,UK344097307558,10.766666667,13.233333333,10.983333333,13.016666667,4.8333333333,18.583333333,0.5833333333,24,24,23.416666667,-35
423,3,24/06/2022,1,UK344097706666,20/05/2022,UK344097706666,11.75,12.25,9.9833333333,14.016666667,4.8166666667,12.983333333,6.2,24,24,17.8,-35
440,1,01/07/2022,1,UK344097508484,27/05/2022,UK344097508484,9.7166666667,14.283333333,9.3333333333,14.666666667,4.95,13.533333333,5.5166666667,24,24,18.483333333,-35
542,8,24/06/2022,1,UK344097403338,20/05/2022,UK344097403338,9.9666666667,14.033333333,10.483333333,13.516666667,5.9666666667,13.1,4.9333333333,24,24,19.066666667,-35
561,1,30/06/2022,1,UK344097108340,26/05/2022,UK344097108340,10.216666667,13.783333333,9.5,14.5,4.6666666667,15.95,3.3833333333,24,24,20.616666667,-35
593,3,23/06/2022,1,UK344097406985,19/05/2022,UK344097406985,11.95,12.05,9.0666666667,14.933333333,6.4,11.6,6,24,24,18,-35
654,5,30/06/2022,1,DE001265359399,26/05/2022,DE001265359399,10.333333333,13.666666667,9.8166666667,14.183333333,5.5833333333,12.733333333,5.7,24,24,18.316666667,-35
758,4,27/06/2022,1,UK344097405669,23/05/2022,UK344097405669,11.166666667,12.833333333,9.5666666667,14.433333333,5.95,14.866666667,3.1833333333,24,24,20.816666667,-35
822,2,01/07/2022,1,UK344097707695,27/05/2022,UK344097707695,9.4333333333,14.566666667,10.916666667,13.083333333,3.7,13.75,6.55,24,24,17.45,-35
882,1,28/06/2022,1,UK344097508218,24/05/2022,UK344097508218,11.166666667,12.833333333,10.283333333,13.716666667,5.5833333333,12.266666667,6.15,24,24,17.85,-35
898,2,06/07/2022,1,UK344097707646,01/06/2022,UK344097707646,9.3833333333,14.616666667,9.7833333333,14.216666667,4.2166666667,17.033333333,2.75,24,24,21.25,-35
1622,3,08/07/2022,1,UK344097106877,03/06/2022,UK344097106877,10.466666667,13.533333333,10.15,13.85,4.2333333333,14.566666667,5.2,24,24,18.8,-35
8262,4,03/07/2022,1,DE001267448262,29/05/2022,DE001267448262,9.1166666667,14.883333333,9.65,14.35,4.3833333333,18.916666667,0.7,24,24,23.3,-35
8524,1,08/07/2022,1,UK344097308524,03/06/2022,UK344097308524,11.616666667,12.383333333,9.8,14.2,3.85,15.616666667,4.5333333333,24,24,19.466666667,-35
11,4,04/07/2022,1,UK344097506083,31/05/2022,UK344097506083,10.05,13.95,11.1,12.9,4.1333333333,12.316666667,7.55,24,24,16.45,-34
40,2,04/07/2022,1,UK344097407685,31/05/2022,UK344097407685,14.416666667,9.5833333333,10.4,13.6,5.5666666667,12.766666667,5.6666666667,24,24,18.333333333,-34
81,4,24/06/2022,1,UK344097205940,21/05/2022,UK344097205940,13.383333333,10.616666667,10.016666667,13.983333333,5.5666666667,14.566666667,3.8666666667,24,24,20.133333333,-34
92,3,06/07/2022,1,UK344097607092,02/06/2022,UK344097607092,10.35,13.65,9.6666666667,14.333333333,5.1666666667,13.783333333,5.0666666667,24,24,18.95,-34
129,1,23/06/2022,1,UK344097108354,20/05/2022,UK344097108354,12.4,11.6,10.466666667,13.533333333,5.0166666667,13.766666667,5.2166666667,24,24,18.783333333,-34
153,2,03/07/2022,1,UK344097307803,30/05/2022,UK344097307803,10.4,13.6,10.733333333,13.266666667,4.0833333333,13.45,6.4666666667,24,24,17.533333333,-34
182,1,22/06/2022,1,UK344097308538,19/05/2022,UK344097308538,13.45,10.55,9.8666666667,14.133333333,7.1333333333,11.083333333,5.7833333333,24,24,18.216666667,-34
295,5,24/06/2022,1,UK344097105169,21/05/2022,UK344097105169,8.95,15.05,9.3833333333,14.616666667,4.9666666667,17.35,1.6833333333,24,24,22.316666667,-34
333,2,27/06/2022,1,UK344097307558,24/05/2022,UK344097307558,12.683333333,11.316666667,9.9166666667,14.083333333,6.1166666667,16.75,1.1333333333,24,24,22.866666667,-34
423,3,24/06/2022,1,UK344097706666,21/05/2022,UK344097706666,10.766666667,13.233333333,10.6,13.4,4.8833333333,12.8,6.3166666667,24,24,17.683333333,-34
440,1,01/07/2022,1,UK344097508484,28/05/2022,UK344097508484,9.6833333333,14.316666667,9.8833333333,14.116666667,4.3833333333,14.216666667,5.4,24,24,18.6,-34
542,8,24/06/2022,1,UK344097403338,21/05/2022,UK344097403338,9.6,14.4,10.516666667,13.483333333,6.25,12.633333333,5.1,24,24,18.883333333,-34
561,1,30/06/2022,1,UK344097108340,27/05/2022,UK344097108340,8.1333333333,15.866666667,10.316666667,13.683333333,3.9666666667,16.733333333,3.3,24,24,20.7,-34
593,3,23/06/2022,1,UK344097406985,20/05/2022,UK344097406985,11.05,12.95,10.333333333,13.666666667,4.4,13.566666667,6.0333333333,24,24,17.966666667,-34
654,5,30/06/2022,1,DE001265359399,27/05/2022,DE001265359399,9.6166666667,14.383333333,9.55,14.45,5.1833333333,11.516666667,7.3,24,24,16.7,-34
758,4,27/06/2022,1,UK344097405669,24/05/2022,UK344097405669,11.45,12.55,11.216666667,12.783333333,5.1,15.85,3.05,24,24,20.95,-34
822,2,01/07/2022,1,UK344097707695,28/05/2022,UK344097707695,9.0333333333,14.966666667,10.35,13.65,4.4,11.7,7.8833333333,24,24,16.1,-34
882,1,28/06/2022,1,UK344097508218,25/05/2022,UK344097508218,9.85,14.15,9.2666666667,14.733333333,4.8833333333,11.733333333,7.3833333333,24,24,16.616666667,-34
898,2,06/07/2022,1,UK344097707646,02/06/2022,UK344097707646,10.533333333,13.466666667,10.716666667,13.283333333,4.6833333333,15.966666667,3.35,24,24,20.65,-34
1622,3,08/07/2022,1,UK344097106877,04/06/2022,UK344097106877,13.5,10.5,10.35,13.65,5.3666666667,14.033333333,4.6,24,24,19.4,-34
8262,4,03/07/2022,1,DE001267448262,30/05/2022,DE001267448262,9.7166666667,14.283333333,10.933333333,13.066666667,5.05,17.7,1.25,24,24,22.75,-34
8524,1,08/07/2022,1,UK344097308524,04/06/2022,UK344097308524,11.7,12.3,10.866666667,13.133333333,4.5666666667,15.083333333,4.35,24,24,19.65,-34
11,4,04/07/2022,1,UK344097506083,01/06/2022,UK344097506083,8.0333333333,15.966666667,10,14,3.1333333333,12.866666667,8,24,24,16,-33
40,2,04/07/2022,1,UK344097407685,01/06/2022,UK344097407685,12.316666667,11.683333333,9.9166666667,14.083333333,4.3166666667,13.016666667,6.6666666667,24,24,17.333333333,-33
81,4,24/06/2022,1,UK344097205940,22/05/2022,UK344097205940,13.733333333,10.266666667,10.116666667,13.883333333,6.0333333333,13.316666667,4.65,24,24,19.35,-33
92,3,06/07/2022,1,UK344097607092,03/06/2022,UK344097607092,12.116666667,11.883333333,10.316666667,13.683333333,6.2666666667,13.25,4.4833333333,24,24,19.516666667,-33
129,1,23/06/2022,1,UK344097108354,21/05/2022,UK344097108354,11.883333333,12.116666667,10.25,13.75,5.0166666667,13.416666667,5.5666666667,24,24,18.433333333,-33
153,2,03/07/2022,1,UK344097307803,31/05/2022,UK344097307803,9.5333333333,14.466666667,9.8333333333,14.166666667,3.85,12.733333333,7.4166666667,24,24,16.583333333,-33
154,6,20/06/2022,1,UK344097604558,18/05/2022,UK344097604558,12.766666667,10.233333333,9.6333333333,13.366666667,5.1,13.516666667,4.3833333333,23,23,18.616666667,-33
182,1,22/06/2022,1,UK344097308538,20/05/2022,UK344097308538,9,15,9.4,14.6,3.85,12.65,7.5,24,24,16.5,-33
201,1,20/06/2022,1,UK344097408511,18/05/2022,UK344097408511,6.6666666667,16.333333333,10.333333333,12.666666667,4.8833333333,11.383333333,6.75,23,23,16.266666667,-33
295,5,24/06/2022,1,UK344097105169,22/05/2022,UK344097105169,8.45,15.55,11.283333333,12.716666667,4.05,16.933333333,3.0333333333,24,24,20.983333333,-33
333,2,27/06/2022,1,UK344097307558,25/05/2022,UK344097307558,11.15,12.85,9.15,14.85,5.5333333333,15.783333333,2.6833333333,24,24,21.316666667,-33
423,3,24/06/2022,1,UK344097706666,22/05/2022,UK344097706666,10.966666667,13.033333333,10.633333333,13.366666667,4.3333333333,12.716666667,6.9666666667,24,24,17.05,-33
440,1,01/07/2022,1,UK344097508484,29/05/2022,UK344097508484,10.216666667,13.783333333,10.85,13.15,3.95,15.233333333,4.8166666667,24,24,19.183333333,-33
542,8,24/06/2022,1,UK344097403338,22/05/2022,UK344097403338,9.75,14.25,10.033333333,13.966666667,6.6333333333,12.25,5.1166666667,24,24,18.883333333,-33
561,1,30/06/2022,1,UK344097108340,28/05/2022,UK344097108340,8.3666666667,15.633333333,11.283333333,12.716666667,3.9,16.8,3.3,24,24,20.7,-33
593,3,23/06/2022,1,UK344097406985,21/05/2022,UK344097406985,11.333333333,12.666666667,10.55,13.45,4.1166666667,14.166666667,5.7166666667,24,24,18.283333333,-33
654,5,30/06/2022,1,DE001265359399,28/05/2022,DE001265359399,9.3,14.7,10.483333333,13.516666667,4.5166666667,12.683333333,6.8,24,24,17.2,-33
758,4,27/06/2022,1,UK344097405669,25/05/2022,UK344097405669,12.95,11.05,7.2,16.8,8.1666666667,11.95,3.8833333333,24,24,20.116666667,-33
822,2,01/07/2022,1,UK344097707695,29/05/2022,UK344097707695,8.45,15.55,11.7,12.3,2.5166666667,13.416666667,8.0666666667,24,24,15.933333333,-33
882,1,28/06/2022,1,UK344097508218,26/05/2022,UK344097508218,8.8833333333,15.116666667,11.233333333,12.766666667,4,14,6,24,24,18,-33
898,2,06/07/2022,1,UK344097707646,03/06/2022,UK344097707646,9.7666666667,14.233333333,10.983333333,13.016666667,3.65,16.283333333,4.0666666667,24,24,19.933333333,-33
1622,3,08/07/2022,1,UK344097106877,05/06/2022,UK344097106877,12.9,11.1,10.783333333,13.216666667,3.9666666667,14.666666667,5.3666666667,24,24,18.633333333,-33
8262,4,03/07/2022,1,DE001267448262,31/05/2022,DE001267448262,9.3833333333,14.616666667,9.9833333333,14.016666667,5.2833333333,17.05,1.6666666667,24,24,22.333333333,-33
8524,1,08/07/2022,1,UK344097308524,05/06/2022,UK344097308524,15.166666667,8.8333333333,10.383333333,13.616666667,6.6666666667,15.65,1.6833333333,24,24,22.316666667,-33
11,4,04/07/2022,1,UK344097506083,02/06/2022,UK344097506083,11.25,12.75,11.166666667,12.833333333,4.6833333333,13.583333333,5.7333333333,24,24,18.266666667,-32
40,2,04/07/2022,1,UK344097407685,02/06/2022,UK344097407685,12.783333333,11.216666667,10.05,13.95,5.2,12.816666667,5.9833333333,24,24,18.016666667,-32
81,4,24/06/2022,1,UK344097205940,23/05/2022,UK344097205940,13.316666667,10.683333333,11.216666667,12.783333333,4.2166666667,14.916666667,4.8666666667,24,24,19.133333333,-32
92,3,06/07/2022,1,UK344097607092,04/06/2022,UK344097607092,10.25,13.75,10.183333333,13.816666667,4.3833333333,13.033333333,6.5833333333,24,24,17.416666667,-32
129,1,23/06/2022,1,UK344097108354,22/05/2022,UK344097108354,11.016666667,12.983333333,10.25,13.75,4.5333333333,12.733333333,6.7333333333,24,24,17.266666667,-32
136,1,19/06/2022,1,UK344097708248,18/05/2022,UK344097708248,10.55,12.45,9.5166666667,13.483333333,4.4833333333,16.016666667,2.5,23,23,20.5,-32
153,2,03/07/2022,1,UK344097307803,01/06/2022,UK344097307803,9.95,14.05,9.8833333333,14.116666667,4.45,12.583333333,6.95,24,24,17.033333333,-32
154,6,20/06/2022,1,UK344097604558,19/05/2022,UK344097604558,12.766666667,11.233333333,9.5,14.5,5.6666666667,13.6,4.7333333333,24,24,19.266666667,-32
182,1,22/06/2022,1,UK344097308538,21/05/2022,UK344097308538,11.566666667,12.433333333,10.483333333,13.516666667,4.9666666667,12.666666667,6.3666666667,24,24,17.633333333,-32
201,1,20/06/2022,1,UK344097408511,19/05/2022,UK344097408511,9.55,14.45,8.4166666667,15.583333333,6.0666666667,8.7333333333,9.2,24,24,14.8,-32
295,5,24/06/2022,1,UK344097105169,23/05/2022,UK344097105169,9.7166666667,14.283333333,10.916666667,13.083333333,4.6833333333,16.316666667,3,24,24,21,-32
333,2,27/06/2022,1,UK344097307558,26/05/2022,UK344097307558,11.533333333,12.466666667,11.2,12.8,5.9,16.733333333,1.3666666667,24,24,22.633333333,-32
423,3,24/06/2022,1,UK344097706666,23/05/2022,UK344097706666,10.016666667,13.983333333,9.4833333333,14.516666667,5.4333333333,12.966666667,5.6166666667,24,24,18.4,-32
440,1,01/07/2022,1,UK344097508484,30/05/2022,UK344097508484,9.7666666667,14.233333333,9.5833333333,14.416666667,4.9666666667,13.666666667,5.3666666667,24,24,18.633333333,-32
542,8,24/06/2022,1,UK344097403338,23/05/2022,UK344097403338,9.5333333333,14.466666667,9.9833333333,14.016666667,6.3666666667,11.3,6.35,24,24,17.666666667,-32
561,1,30/06/2022,1,UK344097108340,29/05/2022,UK344097108340,8.4333333333,15.566666667,10.733333333,13.266666667,3.7166666667,16.433333333,3.85,24,24,20.15,-32
593,3,23/06/2022,1,UK344097406985,22/05/2022,UK344097406985,11.166666667,12.833333333,10.066666667,13.933333333,3.9666666667,14.116666667,5.9166666667,24,24,18.083333333,-32
654,5,30/06/2022,1,DE001265359399,29/05/2022,DE001265359399,9.5166666667,14.483333333,11.383333333,12.616666667,4.0833333333,13.633333333,6.2833333333,24,24,17.716666667,-32
758,4,27/06/2022,1,UK344097405669,26/05/2022,UK344097405669,13.133333333,10.866666667,10.466666667,13.533333333,5.7833333333,16.066666667,2.15,24,24,21.85,-32
822,2,01/07/2022,1,UK344097707695,30/05/2022,UK344097707695,9.45,14.55,11.816666667,12.183333333,3.2166666667,13.183333333,7.6,24,24,16.4,-32
882,1,28/06/2022,1,UK344097508218,27/05/2022,UK344097508218,8.9333333333,15.066666667,9.95,14.05,4.4833333333,13.316666667,6.2,24,24,17.8,-32
898,2,06/07/2022,1,UK344097707646,04/06/2022,UK344097707646,10.916666667,13.083333333,10.833333333,13.166666667,4.4833333333,16.233333333,3.3,24,24,20.716666667,-32
1622,3,08/07/2022,1,UK344097106877,06/06/2022,UK344097106877,12.716666667,11.283333333,9.4166666667,14.583333333,5.4833333333,14.266666667,4.25,24,24,19.75,-32
8262,4,03/07/2022,1,DE001267448262,01/06/2022,DE001267448262,8.0666666667,15.933333333,9.1,14.9,4.2333333333,17.083333333,2.6833333333,24,24,21.316666667,-32
8524,1,08/07/2022,1,UK344097308524,06/06/2022,UK344097308524,10.25,13.75,8.1333333333,15.866666667,5.0333333333,15.316666667,3.6666666667,24,24,20.35,-32
11,4,04/07/2022,1,UK344097506083,03/06/2022,UK344097506083,9.75,14.25,9.5666666667,14.433333333,4.4,11.85,7.75,24,24,16.25,-31
40,2,04/07/2022,1,UK344097407685,03/06/2022,UK344097407685,12.516666667,11.483333333,10.666666667,13.333333333,3.5333333333,15.083333333,5.3833333333,24,24,18.616666667,-31
81,4,24/06/2022,1,UK344097205940,24/05/2022,UK344097205940,12.8,11.2,10.016666667,13.983333333,5.4833333333,12.916666667,5.6166666667,24,24,18.4,-31
92,3,06/07/2022,1,UK344097607092,05/06/2022,UK344097607092,12.2,11.8,8.9833333333,15.016666667,6.75,12.666666667,4.5833333333,24,24,19.416666667,-31
129,1,23/06/2022,1,UK344097108354,23/05/2022,UK344097108354,9.3166666667,14.683333333,10.633333333,13.366666667,4.8166666667,12.45,6.7333333333,24,24,17.266666667,-31
136,1,19/06/2022,1,UK344097708248,19/05/2022,UK344097708248,11.416666667,12.583333333,9.6,14.4,5.4166666667,14.183333333,4.4,24,24,19.6,-31
153,2,03/07/2022,1,UK344097307803,02/06/2022,UK344097307803,10.733333333,13.266666667,9.5833333333,14.416666667,4.7,14.266666667,5.05,24,24,18.966666667,-31
154,6,20/06/2022,1,UK344097604558,20/05/2022,UK344097604558,12.5,11.5,9.6,14.4,4.4166666667,13.9,5.7,24,24,18.316666667,-31
182,1,22/06/2022,1,UK344097308538,22/05/2022,UK344097308538,12.75,11.25,9.9666666667,14.033333333,6.6166666667,11.25,6.1333333333,24,24,17.866666667,-31
201,1,20/06/2022,1,UK344097408511,20/05/2022,UK344097408511,7.4833333333,16.516666667,11.416666667,12.583333333,3.4,11.566666667,9.0333333333,24,24,14.966666667,-31
295,5,24/06/2022,1,UK344097105169,24/05/2022,UK344097105169,10.233333333,13.766666667,9.4833333333,14.516666667,6.55,13.866666667,3.5833333333,24,24,20.416666667,-31
333,2,27/06/2022,1,UK344097307558,27/05/2022,UK344097307558,11.116666667,12.883333333,9.2,14.8,6.4666666667,14.3,3.2333333333,24,24,20.766666667,-31
423,3,24/06/2022,1,UK344097706666,24/05/2022,UK344097706666,8.4333333333,15.566666667,9.7833333333,14.216666667,4.4,13.633333333,5.9666666667,24,24,18.033333333,-31
440,1,01/07/2022,1,UK344097508484,31/05/2022,UK344097508484,9.3333333333,14.666666667,9.9333333333,14.066666667,4.0166666667,13.316666667,6.6666666667,24,24,17.333333333,-31
542,8,24/06/2022,1,UK344097403338,24/05/2022,UK344097403338,10.05,13.95,9.8666666667,14.133333333,5.7666666667,12.1,6.1333333333,24,24,17.866666667,-31
561,1,30/06/2022,1,UK344097108340,30/05/2022,UK344097108340,7.9333333333,16.066666667,10.966666667,13.033333333,3.6333333333,17.316666667,3.05,24,24,20.95,-31
593,3,23/06/2022,1,UK344097406985,23/05/2022,UK344097406985,10.133333333,13.866666667,9.3833333333,14.616666667,4.45,14.15,5.4,24,24,18.6,-31
654,5,30/06/2022,1,DE001265359399,30/05/2022,DE001265359399,8.6666666667,15.333333333,10.066666667,13.933333333,4.1,13.183333333,6.7166666667,24,24,17.283333333,-31
758,4,27/06/2022,1,UK344097405669,27/05/2022,UK344097405669,12.033333333,11.966666667,8.5,15.5,6.3833333333,14.116666667,3.5,24,24,20.5,-31
822,2,01/07/2022,1,UK344097707695,31/05/2022,UK344097707695,5.9166666667,18.083333333,11.266666667,12.733333333,2.4833333333,12.366666667,9.15,24,24,14.85,-31
882,1,28/06/2022,1,UK344097508218,28/05/2022,UK344097508218,6.5333333333,17.466666667,9.5,14.5,3.1166666667,10.983333333,9.8666666667,24,24,14.1,-31
898,2,06/07/2022,1,UK344097707646,05/06/2022,UK344097707646,10.55,13.45,10.116666667,13.883333333,4.0666666667,18.733333333,1.2,24,24,22.8,-31
1622,3,08/07/2022,1,UK344097106877,07/06/2022,UK344097106877,14.3,9.7,10.216666667,13.783333333,5.9833333333,15.266666667,2.75,24,24,21.25,-31
8262,4,03/07/2022,1,DE001267448262,02/06/2022,DE001267448262,7.8666666667,16.133333333,9.5833333333,14.416666667,3.8333333333,18.4,1.7666666667,24,24,22.233333333,-31
8524,1,08/07/2022,1,UK344097308524,07/06/2022,UK344097308524,11.866666667,12.133333333,10.766666667,13.233333333,4.0333333333,18.916666667,1.05,24,24,22.95,-31
11,4,04/07/2022,1,UK344097506083,04/06/2022,UK344097506083,11.766666667,12.233333333,10.116666667,13.883333333,5.0666666667,11.633333333,7.3,24,24,16.7,-30
40,2,04/07/2022,1,UK344097407685,04/06/2022,UK344097407685,14.1,9.9,9.2666666667,14.733333333,5.9,11.916666667,6.15,24,24,17.816666667,-30
81,4,24/06/2022,1,UK344097205940,25/05/2022,UK344097205940,12.033333333,11.966666667,10.133333333,13.866666667,5.5166666667,12.583333333,5.9,24,24,18.1,-30
92,3,06/07/2022,1,UK344097607092,06/06/2022,UK344097607092,13.15,10.85,8.8166666667,15.183333333,7.35,13.083333333,3.5666666667,24,24,20.433333333,-30
129,1,23/06/2022,1,UK344097108354,24/05/2022,UK344097108354,10.383333333,13.616666667,9.85,14.15,4.6166666667,11.55,7.8333333333,24,24,16.166666667,-30
136,1,19/06/2022,1,UK344097708248,20/05/2022,UK344097708248,12.85,11.15,10.85,13.15,5.1,14.566666667,4.3333333333,24,24,19.666666667,-30
153,2,03/07/2022,1,UK344097307803,03/06/2022,UK344097307803,10.6,13.4,11.466666667,12.533333333,4.3,14.066666667,5.6333333333,24,24,18.366666667,-30
154,6,20/06/2022,1,UK344097604558,21/05/2022,UK344097604558,11.25,12.75,6.9166666667,17.083333333,5.1,13.816666667,5.0833333333,24,24,18.916666667,-30
182,1,22/06/2022,1,UK344097308538,23/05/2022,UK344097308538,7.8666666667,16.133333333,9.5666666667,14.433333333,3.3333333333,14.166666667,6.5,24,24,17.5,-30
201,1,20/06/2022,1,UK344097408511,21/05/2022,UK344097408511,8.3333333333,15.666666667,10.016666667,13.983333333,5.3,10.3,8.3833333333,24,24,15.6,-30
295,5,24/06/2022,1,UK344097105169,25/05/2022,UK344097105169,10.55,13.45,8.2833333333,15.716666667,5.8333333333,12.433333333,5.7333333333,24,24,18.266666667,-30
333,2,27/06/2022,1,UK344097307558,28/05/2022,UK344097307558,9.8166666667,14.183333333,9.65,14.35,5.1,14.983333333,3.9166666667,24,24,20.083333333,-30
423,3,24/06/2022,1,UK344097706666,25/05/2022,UK344097706666,10.85,13.15,9.3666666667,14.633333333,5.7666666667,12.083333333,6.15,24,24,17.85,-30
440,1,01/07/2022,1,UK344097508484,01/06/2022,UK344097508484,9.35,14.65,9.6,14.4,3.5833333333,14.333333333,6.0833333333,24,24,17.916666667,-30
542,8,24/06/2022,1,UK344097403338,25/05/2022,UK344097403338,10.083333333,13.916666667,8.7833333333,15.216666667,6.4,10.183333333,7.4166666667,24,24,16.583333333,-30
561,1,30/06/2022,1,UK344097108340,31/05/2022,UK344097108340,8.95,15.05,10.15,13.85,4.4666666667,13,6.5333333333,24,24,17.466666667,-30
593,3,23/06/2022,1,UK344097406985,24/05/2022,UK344097406985,10.65,13.35,9.8833333333,14.116666667,4.35,15.3,4.35,24,24,19.65,-30
654,5,30/06/2022,1,DE001265359399,31/05/2022,DE001265359399,8.2833333333,15.716666667,10.466666667,13.533333333,4.5666666667,13.416666667,6.0166666667,24,24,17.983333333,-30
758,4,27/06/2022,1,UK344097405669,28/05/2022,UK344097405669,11.266666667,12.733333333,9.3833333333,14.616666667,5.9666666667,14.266666667,3.7666666667,24,24,20.233333333,-30
822,2,01/07/2022,1,UK344097707695,01/06/2022,UK344097707695,7.6333333333,16.366666667,10.6,13.4,3.8,12.416666667,7.7833333333,24,24,16.216666667,-30
882,1,28/06/2022,1,UK344097508218,29/05/2022,UK344097508218,9.7,14.3,11.133333333,12.866666667,4.15,11.933333333,7.9,24,24,16.083333333,-30
898,2,06/07/2022,1,UK344097707646,06/06/2022,UK344097707646,12.066666667,11.933333333,8.9833333333,15.016666667,6.75,15.066666667,2.1833333333,24,24,21.816666667,-30
1622,3,08/07/2022,1,UK344097106877,08/06/2022,UK344097106877,13.083333333,10.916666667,9.8166666667,14.183333333,5.0666666667,13.233333333,5.7,24,24,18.3,-30
8262,4,03/07/2022,1,DE001267448262,03/06/2022,DE001267448262,8.75,15.25,9.1,14.9,4.6166666667,16.283333333,3.1,24,24,20.9,-30
8524,1,08/07/2022,1,UK344097308524,08/06/2022,UK344097308524,13.283333333,10.716666667,11.416666667,12.583333333,5.3,17.016666667,1.6833333333,24,24,22.316666667,-30
11,4,04/07/2022,1,UK344097506083,05/06/2022,UK344097506083,11.466666667,12.533333333,8.75,15.25,6.0333333333,11.016666667,6.95,24,24,17.05,-29
40,2,04/07/2022,1,UK344097407685,05/06/2022,UK344097407685,15.083333333,8.9166666667,10.9,13.1,5.15,15.333333333,3.5166666667,24,24,20.483333333,-29
81,4,24/06/2022,1,UK344097205940,26/05/2022,UK344097205940,13.666666667,10.333333333,11.85,12.15,4.8,15.383333333,3.8166666667,24,24,20.183333333,-29
92,3,06/07/2022,1,UK344097607092,07/06/2022,UK344097607092,12.15,11.85,9.25,14.75,5.7833333333,12.716666667,5.5,24,24,18.5,-29
129,1,23/06/2022,1,UK344097108354,25/05/2022,UK344097108354,12.266666667,11.733333333,10.133333333,13.866666667,5.2833333333,12.516666667,6.2,24,24,17.8,-29
136,1,19/06/2022,1,UK344097708248,21/05/2022,UK344097708248,9.3666666667,14.633333333,10.25,13.75,4,16.366666667,3.6333333333,24,24,20.366666667,-29
153,2,03/07/2022,1,UK344097307803,04/06/2022,UK344097307803,11.116666667,12.883333333,10.116666667,13.883333333,4.8666666667,11.933333333,7.2,24,24,16.8,-29
154,6,20/06/2022,1,UK344097604558,22/05/2022,UK344097604558,13.65,10.35,8.2333333333,15.766666667,5.3833333333,13.8,4.8166666667,24,24,19.183333333,-29
182,1,22/06/2022,1,UK344097308538,24/05/2022,UK344097308538,11.983333333,12.016666667,9.5166666667,14.483333333,6.7,13.016666667,4.2833333333,24,24,19.716666667,-29
201,1,20/06/2022,1,UK344097408511,22/05/2022,UK344097408511,9.3,14.7,11.65,12.35,4.4833333333,11.516666667,8,24,24,16,-29
202,4,16/06/2022,1,UK344097505775,18/05/2022,UK344097505775,14.416666667,8.5833333333,8.6833333333,14.316666667,6.6166666667,16.183333333,0.2,23,23,22.8,-29
295,5,24/06/2022,1,UK344097105169,26/05/2022,UK344097105169,9.0333333333,14.966666667,11.95,12.05,4.1666666667,17.083333333,2.75,24,24,21.25,-29
333,2,27/06/2022,1,UK344097307558,29/05/2022,UK344097307558,11.283333333,12.716666667,11.966666667,12.033333333,5.4333333333,16.766666667,1.8,24,24,22.2,-29
423,3,24/06/2022,1,UK344097706666,26/05/2022,UK344097706666,9.1333333333,14.866666667,9.55,14.45,4.6666666667,12.016666667,7.3166666667,24,24,16.683333333,-29
440,1,01/07/2022,1,UK344097508484,02/06/2022,UK344097508484,9.2666666667,14.733333333,9.9333333333,14.066666667,4.1166666667,15.05,4.8333333333,24,24,19.166666667,-29
542,8,24/06/2022,1,UK344097403338,26/05/2022,UK344097403338,10.65,13.35,9.7333333333,14.266666667,6.6666666667,12.583333333,4.7833333333,24,24,19.25,-29
561,1,30/06/2022,1,UK344097108340,01/06/2022,UK344097108340,8.5166666667,15.483333333,10.616666667,13.383333333,4.05,14.583333333,5.3666666667,24,24,18.633333333,-29
590,2,16/06/2022,1,UK344097707296,18/05/2022,UK344097707296,13.1,9.9,8.9833333333,14.016666667,6.0166666667,15.133333333,1.85,23,23,21.15,-29
593,3,23/06/2022,1,UK344097406985,25/05/2022,UK344097406985,13.383333333,10.616666667,9.6666666667,14.333333333,5.3333333333,14.383333333,4.2666666667,24,24,19.716666667,-29
