day;animal;lie;stand;walk;ruminate;grazing;nothing;inactive;active;highActive,milk_yield,milk_composition
20210509;UK263497104885 885;489;111;0;261;0;339;251;343;6
20210509;UK263497305027 27;625;395;0;467;0;553;261;713;46
20210509;UK263497605086 86;381;219;0;315;0;285;167;354;79
20210509;UK263497105095 95;245;355;0;205;0;395;119;427;55
20210509;UK263497405119 119;517;503;0;454;0;566;228;660;132
20210509;UK263497205243 243;207;393;0;261;0;339;175;318;107
20210509;UK263497605457 457;385;215;0;289;0;311;131;415;54
20210509;UK263497404853 853;426;114;0;276;0;264;217;321;2
20210509;UK263497204998 888;577;443;0;430;0;590;364;631;25
20210509;UK263497604932 932;355;245;0;341;0;259;126;395;79
20210509;UK263497504945 945;505;155;0;299;0;361;237;419;4
20210509;UK263497505323 4323;571;629;0;567;0;633;202;856;143
20210509;UK263497505078 5078;479;601;0;427;0;653;240;697;143
20210509;UK263497104689 4689;600;840;0;642;0;798;253;978;209
20210509;UK263497304509 509;600;480;0;469;0;611;314;633;133
20210509;UK263497605555 55;474;306;0;394;0;386;193;574;13
20210509;UK263497405266 66;329;391;0;401;0;319;189;531;0
20210509;UK263497405168 168;455;265;0;382;0;338;160;467;93
20210509;UK263497405280 280;464;496;0;445;0;515;216;682;62
20210509;UK263497505519 519;526;495;0;342;0;678;402;485;133
20210509;UK263497405539 539;264;336;0;243;0;357;154;393;53
20210509;UK263497605541 541;175;365;0;211;0;329;141;339;60
20210509;UK263497404986 986;429;471;0;460;0;440;179;717;4
20210509;UK263497605016 5016;437;403;0;415;0;425;174;575;90
20210509;UK263497405210 1;395;685;0;524;0;556;249;650;181
20210509;UK263497705647 47;495;645;0;480;0;660;298;639;203
20210509;UK263497205110 110;506;574;0;526;0;554;177;731;172
20210509;UK263497305272 272;872;568;0;864;0;576;429;1008;3
20210509;UK263497205523 523;326;334;0;366;0;294;117;526;17
20210509;UK263497605534 534;370;350;0;261;0;459;244;392;83
20210509;UK263497105585 555;133;707;0;384;0;456;182;622;36
20210509;UK263497705577 577;477;603;0;501;0;579;361;667;52
20210509;UK263497205579 579;450;510;0;429;0;531;203;673;84
20210509;UK263497305608 608;549;651;0;497;0;703;261;824;115
20210509;UK263497605023 23;577;863;0;601;0;839;346;1019;75
20210509;UK263497605590 90;815;625;0;686;0;754;355;1072;13
20210509;UK263497105179 179;516;564;0;457;0;623;401;566;113
20210509;UK263497705241 241;462;498;0;437;0;524;195;501;264
20210509;UK263497105648 648;582;558;0;574;0;566;240;898;2
20210509;UK263497505659 659;642;798;0;600;0;840;367;893;179
20210509;UK263497205677 677;120;1320;0;550;0;890;239;953;249
20210509;UK263497504987 987;642;498;0;596;0;544;256;869;15
20210509;UK263497705514 5514;430;590;0;417;0;603;286;554;180
20210509;UK263497705640 5640;698;503;0;491;0;709;385;767;48
